Data read from file:/work/MOD3DEV/tskipper/cracmm_hcho/postproc/cracmm1_aq_2019NS42/COMBINE_ACONC_v54_intel21.4_2019_12US1_201906.nc (layer  1)

   Note: All Times are in GMT


siteid,column,row,longitude,latitude,date,Time,RH,SFC_TMP,CO,O3,FORM,ISOP
,,,degrees,degrees,YYYY-MM-DD,hh:mm:ss,%,C,ppbV,ppbV,ppbV,ppbV
482010803,228,50,-95.17854,29.76479,2019-06-01,00:00:00,86.1198,27.9742,218.643,35.6784,2.98072,0.756238
482010803,228,50,-95.17854,29.76479,2019-06-01,01:00:00,89.6457,27.3169,243.025,19.5947,2.80747,0.466284
482010803,228,50,-95.17854,29.76479,2019-06-01,02:00:00,90.5377,26.7305,206.134,19.2842,2.42623,0.163372
482010803,228,50,-95.17854,29.76479,2019-06-01,03:00:00,91.4589,26.2534,178.584,19.2514,2.30469,0.650105E-01
482010803,228,50,-95.17854,29.76479,2019-06-01,04:00:00,92.5701,25.8618,169.845,17.1072,2.27073,0.348025E-01
482010803,228,50,-95.17854,29.76479,2019-06-01,05:00:00,93.5330,25.5699,170.509,14.4780,2.13453,0.212076E-01
482010803,228,50,-95.17854,29.76479,2019-06-01,06:00:00,94.4684,25.3283,165.785,12.2629,1.92353,0.144578E-01
482010803,228,50,-95.17854,29.76479,2019-06-01,07:00:00,95.1724,25.1303,166.177,9.34821,1.83934,0.120314E-01
482010803,228,50,-95.17854,29.76479,2019-06-01,08:00:00,95.3358,24.9822,163.727,6.55764,1.85290,0.112445E-01
482010803,228,50,-95.17854,29.76479,2019-06-01,09:00:00,95.7218,24.8173,165.471,2.62690,1.99902,0.113752E-01
482010803,228,50,-95.17854,29.76479,2019-06-01,10:00:00,96.7450,24.5522,175.228,0.543150,2.17612,0.113764E-01
482010803,228,50,-95.17854,29.76479,2019-06-01,11:00:00,97.8274,24.2417,184.416,0.431002,2.32998,0.481812E-01
482010803,228,50,-95.17854,29.76479,2019-06-01,12:00:00,98.8686,24.0043,182.034,10.7671,2.53970,0.279017
482010803,228,50,-95.17854,29.76479,2019-06-01,13:00:00,98.8114,24.1405,185.797,15.5215,2.46201,0.533188
482010803,228,50,-95.17854,29.76479,2019-06-01,14:00:00,94.1474,24.8116,158.242,24.0860,1.86565,0.657085
482010803,228,50,-95.17854,29.76479,2019-06-01,15:00:00,84.5494,26.3288,160.746,32.8882,2.03324,0.863608
482010803,228,50,-95.17854,29.76479,2019-06-01,16:00:00,75.8687,27.7220,173.092,42.1304,2.53381,0.797989
482010803,228,50,-95.17854,29.76479,2019-06-01,17:00:00,68.2018,28.8927,181.244,53.4932,2.99771,0.635336
482010803,228,50,-95.17854,29.76479,2019-06-01,18:00:00,60.1461,30.8256,181.183,65.0859,3.09230,0.503967
482010803,228,50,-95.17854,29.76479,2019-06-01,19:00:00,53.8100,32.7072,180.282,73.9163,3.02005,0.461337
482010803,228,50,-95.17854,29.76479,2019-06-01,20:00:00,49.8159,33.8605,183.088,80.9020,3.00465,0.440986
482010803,228,50,-95.17854,29.76479,2019-06-01,21:00:00,48.4422,34.3961,188.842,87.0585,3.09479,0.415203
482010803,228,50,-95.17854,29.76479,2019-06-01,22:00:00,49.3981,34.3981,194.404,91.5712,3.21836,0.353645
482010803,228,50,-95.17854,29.76479,2019-06-01,23:00:00,52.7140,33.4243,197.219,89.2451,3.14348,0.252070
482010803,228,50,-95.17854,29.76479,2019-06-02,00:00:00,57.2090,31.7327,194.089,77.6341,2.81728,0.274194
482010803,228,50,-95.17854,29.76479,2019-06-02,01:00:00,62.3472,30.8367,186.135,52.1194,2.36143,0.143970
482010803,228,50,-95.17854,29.76479,2019-06-02,02:00:00,67.4786,29.4309,183.888,27.7243,1.91288,0.109973
482010803,228,50,-95.17854,29.76479,2019-06-02,03:00:00,71.4835,28.3183,178.597,15.7494,1.55277,0.162333
482010803,228,50,-95.17854,29.76479,2019-06-02,04:00:00,75.1558,27.4661,155.951,11.4544,1.27801,0.124425
482010803,228,50,-95.17854,29.76479,2019-06-02,05:00:00,78.8523,26.8120,140.401,10.3371,1.27645,0.617319E-01
482010803,228,50,-95.17854,29.76479,2019-06-02,06:00:00,82.3345,26.2859,133.248,9.74501,1.31382,0.248386E-01
482010803,228,50,-95.17854,29.76479,2019-06-02,07:00:00,85.3678,25.8624,128.719,9.74402,1.31904,0.136469E-01
482010803,228,50,-95.17854,29.76479,2019-06-02,08:00:00,88.0429,25.5349,124.306,9.81023,1.33762,0.113257E-01
482010803,228,50,-95.17854,29.76479,2019-06-02,09:00:00,90.3561,25.2675,125.599,8.65192,1.40986,0.108857E-01
482010803,228,50,-95.17854,29.76479,2019-06-02,10:00:00,92.1812,25.0561,136.614,6.32688,1.49423,0.106098E-01
482010803,228,50,-95.17854,29.76479,2019-06-02,11:00:00,93.3447,24.8922,157.571,3.54487,1.58119,0.691559E-01
482010803,228,50,-95.17854,29.76479,2019-06-02,12:00:00,91.8745,24.8983,178.673,8.36610,1.76679,0.525677
482010803,228,50,-95.17854,29.76479,2019-06-02,13:00:00,81.6980,25.9144,149.309,16.5359,1.44982,0.567826
482010803,228,50,-95.17854,29.76479,2019-06-02,14:00:00,69.3540,28.1042,125.669,23.0456,1.21120,0.557836
482010803,228,50,-95.17854,29.76479,2019-06-02,15:00:00,62.1062,29.8033,129.346,29.3116,1.59505,0.579126
482010803,228,50,-95.17854,29.76479,2019-06-02,16:00:00,57.0030,31.4915,134.835,41.9205,2.23684,0.514470
482010803,228,50,-95.17854,29.76479,2019-06-02,17:00:00,52.5308,32.9991,138.903,54.0449,2.57033,0.490421
482010803,228,50,-95.17854,29.76479,2019-06-02,18:00:00,48.6813,34.2586,140.504,61.2841,2.56274,0.492852
482010803,228,50,-95.17854,29.76479,2019-06-02,19:00:00,46.9354,35.1577,140.174,64.2694,2.47023,0.462808
482010803,228,50,-95.17854,29.76479,2019-06-02,20:00:00,46.2719,34.0634,138.591,64.1211,2.36092,0.473342
482010803,228,50,-95.17854,29.76479,2019-06-02,21:00:00,45.4502,34.6480,134.968,65.0014,2.27708,0.500234
