Data read from file:/work/MOD3DEV/tskipper/cracmm_hcho/postproc/cracmm2_2019NS63a/COMBINE_ACONC_v54_intel21.4_2019_12US1_201907.nc (layer  1)

   Note: All Times are in GMT


siteid,column,row,longitude,latitude,date,Time,RH,SFC_TMP,CO,O3,FORM,ISOP
,,,degrees,degrees,YYYY-MM-DD,hh:mm:ss,%,C,ppbV,ppbV,ppbV,ppbV
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-01,00:00:00,54.5907,23.0268,88.7482,24.9741,0.897779,0.576119
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-01,01:00:00,58.4321,21.6016,86.2150,23.0391,0.789773,0.399860
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-01,02:00:00,61.3088,20.7094,79.7881,21.2078,0.650950,0.258669
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-01,03:00:00,63.9002,20.2163,71.6507,19.8504,0.535258,0.161788
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-01,04:00:00,67.2723,19.7661,68.1459,19.0900,0.479301,0.961934E-01
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-01,05:00:00,70.7814,19.3803,68.5930,19.4848,0.450600,0.700804E-01
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-01,06:00:00,73.9421,19.0659,70.4007,20.2445,0.418622,0.569547E-01
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-01,07:00:00,76.5027,18.7902,71.7765,19.8528,0.384424,0.422191E-01
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-01,08:00:00,78.0707,18.5448,72.2473,18.0374,0.337796,0.308864E-01
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-01,09:00:00,78.6010,18.3533,76.3113,17.8317,0.305299,0.242628E-01
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-01,10:00:00,76.9571,18.3248,88.0531,18.1086,0.358569,0.171840
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-01,11:00:00,72.4942,19.4045,97.5418,18.5920,0.559363,0.344556
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-01,12:00:00,66.1056,21.0616,98.2917,21.8917,0.884623,0.353754
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-01,13:00:00,59.4174,23.0211,92.7505,26.0668,1.19766,0.332321
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-01,14:00:00,53.9819,24.7999,87.9224,28.7146,1.37570,0.372108
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-01,15:00:00,49.7947,26.3388,85.7451,29.8024,1.48503,0.455739
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-01,16:00:00,46.1952,27.5887,84.0231,29.5824,1.53986,0.547963
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-01,17:00:00,42.9178,28.5716,83.5691,29.5260,1.56966,0.625665
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-01,18:00:00,40.5450,29.2459,85.4337,30.3574,1.60466,0.659977
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-01,19:00:00,39.3734,29.5719,87.9932,31.2789,1.62397,0.642784
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-01,20:00:00,39.1956,29.5752,90.6669,31.9550,1.62912,0.581515
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-01,21:00:00,40.1635,29.2666,92.0057,31.6698,1.62803,0.521723
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-01,22:00:00,43.5481,28.6712,97.4548,30.0890,1.66866,0.613613
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-01,23:00:00,49.3366,27.6524,135.365,24.4080,1.76504,1.37508
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-02,00:00:00,55.3393,25.6452,154.257,21.4443,2.11162,1.58979
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-02,01:00:00,64.5927,23.7170,152.715,21.5814,1.95786,0.936739
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-02,02:00:00,74.2562,22.0620,147.958,23.4476,1.35587,0.439933
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-02,03:00:00,78.8713,20.9117,144.661,17.9655,1.34068,0.711534
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-02,04:00:00,80.1493,20.3997,113.649,13.2995,0.991416,0.992394
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-02,05:00:00,79.6257,20.3293,86.6348,12.4747,0.767852,0.793326
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-02,06:00:00,80.2947,20.1807,78.7411,12.1978,0.688959,0.571433
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-02,07:00:00,81.8596,19.8329,77.7796,11.5115,0.659030,0.410680
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-02,08:00:00,83.4849,19.3987,84.6358,10.7104,0.674249,0.321830
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-02,09:00:00,84.6684,19.0618,111.555,9.52147,0.732207,0.307545
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-02,10:00:00,83.0630,18.9726,163.461,9.70028,0.845288,0.544416
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-02,11:00:00,77.0390,20.4487,186.188,14.2744,1.38313,0.643378
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-02,12:00:00,68.7833,22.4282,198.343,20.6258,2.11230,0.529640
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-02,13:00:00,60.8327,24.5331,197.233,29.4808,2.92875,0.371473
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-02,14:00:00,53.2759,26.4888,176.303,38.5081,3.23468,0.316693
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-02,15:00:00,47.3871,28.3151,158.367,47.1217,3.06753,0.339942
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-02,16:00:00,43.9686,29.5070,159.234,54.7920,3.04333,0.367340
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-02,17:00:00,42.1661,30.4536,161.171,60.3532,2.98431,0.377434
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-02,18:00:00,42.4369,30.5539,151.456,59.5531,2.91256,0.427033
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-02,19:00:00,43.9121,30.7270,135.251,54.3512,2.82560,0.524600
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-02,20:00:00,45.7845,31.4083,135.072,53.4664,2.58093,0.598893
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-02,21:00:00,55.4780,30.7967,177.251,50.0658,2.13148,0.670527
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-02,22:00:00,67.5297,26.7114,233.398,42.7787,1.93429,1.11247
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-02,23:00:00,71.1706,26.7196,220.037,38.5586,2.13207,1.95083
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-03,00:00:00,74.4860,25.6860,195.306,35.8386,2.36436,2.18916
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-03,01:00:00,80.0754,24.0840,178.952,33.0654,2.47333,1.75547
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-03,02:00:00,85.2042,22.9533,161.838,30.3036,2.35743,1.42843
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-03,03:00:00,88.2286,22.2352,143.960,26.8378,1.93631,1.19651
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-03,04:00:00,89.4958,21.7826,130.884,23.3687,1.39524,0.977576
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-03,05:00:00,90.0671,21.5074,120.646,20.9445,1.04398,0.748388
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-03,06:00:00,90.9932,21.3483,113.647,19.4255,0.802786,0.566495
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-03,07:00:00,90.9231,21.4437,110.006,19.4241,0.658379,0.421831
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-03,08:00:00,89.3864,21.6624,114.068,20.8776,0.663552,0.283845
WSTPRT_CT,376,176,-73.33681,41.11822,2019-07-03,09:00:00,87.8863,21.6650,130.176,21.0187,0.619921,0.177768
