,Time_Start_seconds,Day_Of_Year_day,Latitude_deg,Longitude_deg,Radar_Altitude_m,Static_Pressure_Pa,Time_Stop_seconds,Pressure_Altitude_ft,Static_Air_Temp_degreesCelcius,Static_Pressure_hPa,Solar_Zenith_Angle_deg,Smoke_flag_SCHWARZ_none,CH2O_ISAF_HANISCO_pptv,CH2O_CAMS_pptv_FRIED_pptv,HCHO_mod_ppmv
2019-07-22 18:16:00,65804.5,203,34.619526,-118.08791,79.50708,91823.433,65805.5,2700.1333,32.981,918.23433,26.923333,,,1948.1,0.001342605
2019-07-22 18:17:00,65849.5,203,34.602774,-118.1244,344.00998,88872.7,65850.5,3584.3667,29.769167,888.727,26.815,,1467.4182,2073.05,0.0012369647
2019-07-22 18:18:00,65909.5,203,34.629327,-118.17237,649.3002,85968.517,65910.5,4479.4167,27.097833,859.68517,26.666667,,1198.8558,1293.8182,0.00110142
2019-07-22 18:19:00,65969.5,203,34.679303,-118.14612,821.30392,84848.25,65970.5,4829.0,26.6565,848.4825,26.491667,,838.5475,962.56667,0.00069132552
2019-07-22 18:20:00,66029.5,203,34.674248,-118.07301,1104.4936,82162.183,66030.5,5689.2833,24.465833,821.62183,26.25,,867.58917,1165.7,0.00056229177
2019-07-22 18:21:00,66089.5,203,34.647433,-117.99472,1303.6423,80036.883,66090.5,6382.0833,22.647333,800.36883,25.998333,,794.63583,1042.75,0.00049085938
2019-07-22 18:22:00,66149.5,203,34.616345,-117.9164,1330.7339,79434.667,66150.5,6582.65,22.107167,794.34667,25.743333,,873.62583,1294.7833,0.00051546493
2019-07-22 18:23:00,66209.5,203,34.583278,-117.8362,1856.0364,74296.217,66210.5,8344.0333,17.080333,742.96217,25.491667,,877.01417,1008.6167,0.00049615017
2019-07-22 18:24:00,66269.5,203,34.551177,-117.75509,2411.2626,69176.3,66270.5,10188.433,11.928,691.763,25.23,,1086.2683,1240.8333,0.00047859413
2019-07-22 18:25:00,66329.5,203,34.518271,-117.67643,2384.7654,68599.283,66330.5,10402.767,11.384333,685.99283,24.983333,,1157.2942,1393.4333,0.00047859413
2019-07-22 18:26:00,66389.5,203,34.481818,-117.59974,2289.3604,68586.5,66390.5,10407.533,11.240167,685.865,24.723333,,1062.2375,1339.25,0.00045490274
2019-07-22 18:27:00,66449.5,203,34.434494,-117.52991,2207.7909,68575.25,66450.5,10411.717,11.173,685.7525,24.48,,1043.2092,1202.7833,0.00057286641
2019-07-22 18:28:00,66509.5,203,34.387709,-117.46141,2151.6797,68586.583,66510.5,10407.55,11.088333,685.86583,24.22,,955.575,1062.35,0.00046270937
2019-07-22 18:29:00,66569.5,203,34.342015,-117.39342,1982.5868,70550.183,66570.5,9685.5667,13.101167,705.50183,23.978333,,897.38917,1041.7273,0.00047839544
2019-07-22 18:30:00,66629.5,203,34.290245,-117.32499,1409.2098,75808.0,66630.5,7814.0167,18.422667,758.08,23.716667,,865.89167,930.55,0.0004815647
2019-07-22 18:31:00,66689.5,203,34.217078,-117.31381,1052.4007,79751.517,66690.5,6478.9833,21.647167,797.51517,23.498333,,1166.7092,1614.35,0.00095566141
